name,address,lat,lng,geofence_radius_meters,active,is_live
Kedari Petrol Pump,Vitthal Shivarkar Marg,18.4865476,73.8986607,200.0,True,False
CNG PETROL PUMP,KATE VASTI,18.5921702,73.8037493,200.0,True,False
Bharat Petroleum,Sinhagad Road,18.4827024,73.826623,200.0,True,False
CNG Station,Pune,18.5077783,73.8047303,200.0,True,False
CNG Station,Pune,18.4821829,73.8032047,200.0,True,False
CNG Station,Pune,18.7383147,73.8576874,200.0,True,False
CNG,Pune,18.6307371,73.7428473,200.0,True,False
Bharat Petroleum,Pune,18.7433385,73.828122,200.0,True,False
Indian Oil Petrol CNG Pump,Pune,18.5695016,73.8172069,200.0,True,False
Dudhane Petrol,NDA Road,18.4686598,73.7851455,200.0,True,False
CHANDERE CNG Station,Sus Road,18.552645,73.7574904,200.0,True,False
CNG Pump,Pune,18.6468332,73.742276,200.0,True,False
Kaspte Bharat Gas Agency,Pune,18.5917027,73.7561869,200.0,True,False
Gaikwad CNG station,Pune,18.5323221,73.9318645,200.0,True,False
Indian Oil Petrol Pump,Nagar Road,18.5803367,73.9752536,200.0,True,False
CNG Station,Pune,18.6374147,73.8492172,200.0,True,False
CNG Station,Pune,18.5983896,73.8281901,200.0,True,False
Chikhali CNG Pump,Pune,18.6642449,73.8266834,200.0,True,False
MNGL CNG Pump,Pune,18.5341826,73.8476506,200.0,True,True
Bharat Petroleum,Pune,18.6393873,73.7383346,200.0,True,False
HP,Pune,18.6011964,73.7543476,200.0,True,False
HP,Pune,18.6282638,73.7423934,200.0,True,False
Kaspte Bharat Gas Agency,Pune,18.5916567,73.7559516,200.0,True,False
Indian Oil Petrol Pump,Nagar Road,18.5803511,73.9752297,200.0,True,False
Koteshwar Petroleum,Pune,18.6162291,73.7867433,200.0,True,False
Rathi Cng gas Station,katraj,18.4539889,73.8534875,200.0,True,False
Dharmavat Petrol Pump,Pune,18.448715,73.904331,200.0,True,False
MNGL CNG,Pune,18.5850253,73.8330232,200.0,True,True
MNGL,Pune,18.6633075,73.7894759,200.0,True,True
LMD CNG,Pune,18.5112663,73.7709497,200.0,True,False
Pimple Nilakh CNG Pump,Pune,18.5666938,73.7925552,200.0,True,False
CNG Station,Dehu - Alandi Road,18.6772922,73.8598049,200.0,True,False
Indian Oil Petrol Pump,Pune,18.6243523,74.0312352,200.0,True,False
CNG Station,Nagar Road,18.580237,73.9750611,200.0,True,False
Indian Oil Pump (CNG Available),Pune,18.4577754,73.8291617,200.0,True,False
MNGL CNG Pump,Pune,18.6031465,73.7468813,200.0,True,True
CNG Station,Pune,18.6373814,73.849216,200.0,True,False
Laxmi Petroleum (Bharat Petroleum),Pune,18.5779786,73.7160786,200.0,True,False
